Year,river,date,DO,BOD,COD,SS,pH,NH3N,TEMP,COND,SAL,TUR,TC,Class
2022,JINJANG,11/3/2022,5.283,5,21,26,7.197,3.34,29.018,191.892,0.089,31.548,330000,Slightly Polluted
2022,JINJANG,19/5/2022,8.087,2,25,24,7.593,6.5,30.226,277.291,0.13,18.476,410000,Slightly Polluted
2022,JINJANG,13/7/2022,6.208,5,29,29,7.077,4.96,28.356,208.754,0.097,26.76,740000,Slightly Polluted
2022,JINJANG,14/9/2022,7.897,10,42,22,7.576,7.87,29.045,273.672,0.128,16.032,106000,Slightly Polluted
2022,JINJANG,15/11/2022,5.957,5,28,15,7.138,3.47,27.673,202.088,0.094,20.119,220000,Slightly Polluted
2022,TOBA,15/1/2022,4.932,8,45,18,6.912,2.74,28.704,263.621,0.124,33.744,1075000,Slightly Polluted
2022,TOBA,10/3/2022,6.309,9,23,202,7.11,1.11,29.169,218.824,0.102,223.399,1400000,Slightly Polluted
2022,TOBA,18/5/2022,6.035,20,50,34,7.124,5.26,30.139,269.303,0.126,18.292,800000,Polluted
2022,TOBA,15/7/2022,5.415,13,34,18,6.888,5.88,29.697,282.782,0.133,7.933,880000,Slightly Polluted
2022,TOBA,14/9/2022,4.801,9,42,10,7.283,5.95,28.426,230.548,0.108,15.605,990000,Slightly Polluted
2022,TOBA,11/11/2022,6.452,15,42,54,7.067,7.83,27.454,288.888,0.136,40.586,660000,Slightly Polluted
2022,UNTUT,13/1/2022,6.005,2,7,2,7.155,1.03,27.88,291.514,0.137,8.504,790000,Clean
2022,UNTUT,10/3/2022,5.672,6,26,76,7.216,0.05,29.062,282.957,0.133,113.411,6400000,Slightly Polluted
2022,UNTUT,17/5/2022,5.339,6,15,13,7.336,1.76,28.485,276.599,0.13,9.239,1650000,Slightly Polluted
2022,UNTUT,16/7/2022,4.851,7,24,5,7.038,2.35,28.718,267.096,0.125,4.592,860000,Slightly Polluted
2022,UNTUT,15/9/2022,4.063,7,29,4,7.149,3.22,28.049,265.932,0.125,5.837,890000,Slightly Polluted
2022,UNTUT,15/11/2022,7.033,3,11,5,7.205,1.27,27.911,227.977,0.107,13.739,1030000,Clean
2022,BUNOS,11/1/2022,6.064,10,31,2,7.491,2.82,30.092,235.5,0.11,12.956,9000000,Slightly Polluted
2022,BUNOS,7/3/2022,4.843,6,21,29,7.294,1.21,30.409,248.708,0.116,32.108,740000,Slightly Polluted
2022,BUNOS,11/5/2022,6.138,10,26,31,7.484,1.47,29.256,193.256,0.09,38.343,1580000,Slightly Polluted
2022,BUNOS,15/7/2022,5.017,8,21,4,7.167,2.41,30.357,219.55,0.102,8.751,360000,Slightly Polluted
2022,BUNOS,6/9/2022,3.943,12,33,22,7.418,2.79,29.561,224.983,0.105,26.955,620000,Polluted
2022,BUNOS,11/11/2022,5.15,10,29,11,7.943,1.95,28.639,226.121,0.106,22.316,610000,Slightly Polluted
2022,BELONGKONG,11/1/2022,6.081,8,31,7,7.136,4.77,28.451,284.346,0.134,13.561,7500000,Slightly Polluted
2022,BELONGKONG,7/3/2022,5.281,11,29,7,7.209,3.23,28.672,276.804,0.13,11.337,1360000,Slightly Polluted
2022,BELONGKONG,11/5/2022,6.286,15,50,14,7.275,3.2,28.473,263.933,0.124,15.071,147000000,Slightly Polluted
2022,BELONGKONG,8/7/2022,5.088,16,39,5,7.031,5.39,28.532,275.651,0.129,17.672,48000000,Slightly Polluted
2022,BELONGKONG,6/9/2022,5.686,26,77,33,7.201,4.38,30.131,260.912,0.122,15.006,4800000,Polluted
2022,BELONGKONG,11/11/2022,6.861,6,41,29,7.114,2.09,27.688,246.143,0.115,23.723,750000,Slightly Polluted
2022,AIR BUSUK,11/1/2022,3.998,19,66,22,7.249,14.2,29.28,361.984,0.171,16.802,10400000,Polluted
2022,AIR BUSUK,7/3/2022,5.386,16,56,30,7.268,6.34,29.328,268.674,0.126,17.042,1930000,Polluted
2022,AIR BUSUK,11/5/2022,6.168,21,62,22,7.457,6.95,29.084,251.347,0.118,27.203,11500000,Polluted
2022,AIR BUSUK,12/7/2022,3.457,28,97,32,7.126,14.9,27.905,345.226,0.163,21.623,196000000,Polluted
2022,AIR BUSUK,7/9/2022,4.957,14,78,34,7.227,6.24,28.701,254.196,0.119,18.41,9200000,Polluted
2022,AIR BUSUK,11/11/2022,4.22,27,76,26,7.157,9.08,28.372,290.714,0.137,20.422,54000000,Polluted
2022,BUNOS,11/1/2022,6.814,5,18,2,6.928,0.24,28.684,149.981,0.069,4.881,116000,Clean
2022,BUNOS,7/3/2022,6.543,3,13,3,7.308,0.23,28.193,145.306,0.067,4.436,11,Clean
2022,BUNOS,11/5/2022,5.965,8,23,7,7.084,0.18,28.395,155.098,0.072,7.747,1700000,Clean
2022,BUNOS,8/7/2022,5.448,12,29,3,6.829,0.44,28.155,144.528,0.067,10.458,34000000,Slightly Polluted
2022,BUNOS,6/9/2022,6.799,6,41,3,7.004,0.13,29.656,134.988,0.062,6.303,23000,Clean
2022,BUNOS,11/11/2022,6.618,12,36,15,7.001,0.36,27.864,143.093,0.066,15.373,20000000,Slightly Polluted
2022,JINJANG,10/1/2022,5.113,9,35,33,7.077,6.29,30.079,276.616,0.129,34.563,1330000,Slightly Polluted
2022,JINJANG,11/3/2022,6.233,6,29,71,7.264,3.25,29.305,201.782,0.094,50.628,950000,Slightly Polluted
2022,JINJANG,18/5/2022,5.236,10,34,27,7.193,7.52,29.327,293.696,0.138,20.244,990000,Slightly Polluted
2022,JINJANG,13/7/2022,4.882,10,28,38,6.898,3.35,27.457,189.639,0.088,39.547,580000,Slightly Polluted
2022,JINJANG,14/9/2022,4.132,10,37,19,7.143,6.91,28.859,251.634,0.118,19.381,740000,Polluted
2022,JINJANG,15/11/2022,5.999,8,26,30,7.056,2.19,27.594,156.956,0.073,42.599,620000,Slightly Polluted
2022,KERAYONG,10/1/2022,4.235,10,46,16,7.288,9.5,29.143,386.152,0.183,12.395,860000,Polluted
2022,KERAYONG,9/3/2022,5.257,7,16,24,7.193,2.44,28.027,216.424,0.101,29.065,168000,Slightly Polluted
2022,KERAYONG,10/5/2022,4.227,10,40,13,7.459,8.32,30.692,353.254,0.166,11.149,730000,Polluted
2022,KERAYONG,6/7/2022,5.942,9,45,20,7.335,9.13,28.151,369.277,0.175,13.493,1450000,Slightly Polluted
2022,KERAYONG,7/9/2022,6.518,6,29,21,7.396,0.31,28.068,184.88,0.086,28.465,950000,Clean
2022,KERAYONG,4/11/2022,4.917,9,36,5,7.291,7.53,28.034,285.069,0.134,9.172,450000,Slightly Polluted
2022,KEROH,14/1/2022,5.215,10,37,17,6.884,4.83,28.397,196.654,0.092,12.441,790000,Slightly Polluted
2022,KEROH,16/3/2022,5.342,7,31,11,7.16,3.93,29.644,186.175,0.086,10.882,980000,Slightly Polluted
2022,KEROH,18/5/2022,5.185,4,29,14,7.186,5.3,29.382,201.424,0.094,14.72,520000,Slightly Polluted
2022,KEROH,15/7/2022,5.358,19,49,12,6.885,5.46,30.118,204.255,0.095,12.815,1150000,Polluted
2022,KEROH,14/9/2022,5.067,22,63,18,7.171,6.4,28.063,205.813,0.096,26.044,940000,Polluted
2022,KEROH,15/11/2022,7.08,9,28,18,7.132,2.46,27.499,155.745,0.072,24.134,750000,Slightly Polluted
2022,KLANG,13/1/2022,5.639,7,29,25,7.14,3.21,27.149,206.205,0.096,27.456,1100000,Slightly Polluted
2022,KLANG,14/3/2022,5.296,7,20,21,7.206,2.62,28.864,214.436,0.1,22.683,940000,Slightly Polluted
2022,KLANG,17/5/2022,6.368,5,13,31,7.25,1.12,28.319,157.683,0.073,25.115,1030000,Slightly Polluted
2022,KLANG,16/7/2022,6.091,9,37,24,7.093,3.97,28.668,209.127,0.097,19.702,430000,Slightly Polluted
2022,KLANG,15/9/2022,6.154,5,29,23,7.151,2.44,27.064,150.07,0.07,25.925,610000,Slightly Polluted
2022,KLANG,10/11/2022,6.293,8,24,16,7.061,2.23,27.009,172.283,0.08,19.994,540000,Slightly Polluted
2022,KUYOH,10/1/2022,5.036,9,42,95,6.997,4.34,28.907,219.142,0.102,60.938,1140000,Polluted
2022,KUYOH,9/3/2022,5.496,9,32,59,7.084,1.94,29.038,191.578,0.089,48.533,780000,Slightly Polluted
2022,KUYOH,10/5/2022,4.55,11,39,40,7.278,7.65,31.633,264.688,0.123,39.798,30000000,Polluted
2022,KUYOH,6/7/2022,5.369,7,19,28,7.106,3.22,27.517,268.184,0.126,28.837,520000,Slightly Polluted
2022,KUYOH,7/9/2022,5.648,9,42,37,7.128,2.71,28.215,174.333,0.081,30.58,720000,Slightly Polluted
2022,KUYOH,4/11/2022,6.367,6,26,23,7.283,6.59,28.178,242.015,0.113,22.227,360000,Slightly Polluted
2022,BATU,15/1/2022,4.643,8,37,14,7.156,6.7,28.19,315.633,0.149,15.134,790000,Slightly Polluted
2022,BATU,11/3/2022,5.417,5,18,27,7.235,1.7,28.524,190.246,0.088,23.142,740000,Slightly Polluted
2022,BATU,19/5/2022,5.119,6,16,29,7.182,2.29,29.233,192.021,0.089,33.578,640000,Slightly Polluted
2022,BATU,13/7/2022,5.677,10,26,59,7.095,0.48,27.757,186.778,0.087,44.364,540000,Slightly Polluted
2022,BATU,14/9/2022,6.068,9,29,22,7.293,1.9,28.688,180.913,0.084,26.336,290000,Slightly Polluted
2022,BATU,15/11/2022,6.084,6,26,117,7.145,1.77,27.261,156.049,0.072,110.437,320000,Slightly Polluted
2022,KERAYONG,13/1/2022,5.661,19,46,16,7.451,8.19,30.261,336.748,0.158,14.157,1320000,Polluted
2022,KERAYONG,14/3/2022,4.935,20,49,18,7.331,6.84,30.995,333.105,0.156,14.093,7200000,Polluted
2022,KERAYONG,17/5/2022,4.791,11,58,20,7.467,8.35,31.205,325.492,0.153,16.625,45000000,Polluted
2022,KERAYONG,16/7/2022,5.557,20,50,19,7.332,9.43,30.329,323.977,0.152,15.191,1470000,Polluted
2022,KERAYONG,15/9/2022,4.962,20,55,20,7.427,8.73,29.657,293.391,0.138,17.095,1560000,Polluted
2022,KERAYONG,10/11/2022,6.049,16,40,11,7.417,5.91,28.805,299.524,0.141,16.33,1660000,Slightly Polluted
2022,GOMBAK,13/1/2022,5.632,8,20,23,7.173,<0.010,27.207,257.459,0.121,19.726,725000,Clean
2022,GOMBAK,11/3/2022,4.321,4,19,26,6.975,1.36,28.636,186.671,0.087,40.309,880000,Slightly Polluted
2022,GOMBAK,17/5/2022,6.158,9,32,96,7.256,3,27.235,200.132,0.093,70.151,1010000,Slightly Polluted
2022,GOMBAK,16/7/2022,5.478,12,41,64,7.078,4.56,28.444,245.706,0.115,45.739,830000,Polluted
